program,skolkod,andel_med_examen
nationella program,41099519,"93,3"
nationella program,59386837,"97,3"
nationella program,21627442,"100,0"
nationella program,17276047,"79,2"
nationella program,73217812,"73,7"
nationella program,21382451,"90,7"
nationella program,48244956,"80,0"
nationella program,36769815,"100,0"
nationella program,16931486,"90,5"
nationella program,92489953,"85,2"
nationella program,43873969,"94,2"
nationella program,55825382,"80,3"
nationella program,19306558,"96,0"
nationella program,35301145,"87,5"
nationella program,24993048,"88,0"
nationella program,70132092,"84,7"
nationella program,65034473,..
nationella program,13084253,"80,4"
nationella program,32321364,..
nationella program,59942080,"77,5"
nationella program,66273269,"92,5"
nationella program,82888663,"71,2"
nationella program,11275959,"90,6"
nationella program,58518163,"82,5"
nationella program,50615280,"94,4"
nationella program,19035583,"100,0"
nationella program,27993549,"68,5"
nationella program,37912396,"97,7"
nationella program,45593337,"85,5"
nationella program,90312942,"96,4"
nationella program,10226870,"95,0"
nationella program,19839859,"100,0"
nationella program,80280597,..
nationella program,67628478,"100,0"
nationella program,37517404,"100,0"
nationella program,29159460,"92,0"
nationella program,32057701,"95,7"
nationella program,43601850,"87,9"
nationella program,30615080,"69,0"
nationella program,89630851,"93,0"
nationella program,25178582,"87,0"
nationella program,70543431,"100,0"
nationella program,23476801,..
nationella program,86351879,"88,5"
nationella program,56041144,"84,9"
nationella program,14586562,..
nationella program,74322969,"89,3"
nationella program,90260899,"94,4"
nationella program,69302313,"91,3"
nationella program,31057219,"86,5"
nationella program,27079521,"96,9"
nationella program,33572033,"85,4"
nationella program,64579522,"91,9"
nationella program,65234368,"100,0"
nationella program,34381901,"93,1"
nationella program,55150847,"93,0"
nationella program,90076461,"91,8"
nationella program,96414537,"96,8"
nationella program,53069733,"87,8"
nationella program,99394620,"100,0"
nationella program,95368476,"95,5"
nationella program,14853321,"96,1"
nationella program,76448076,"79,3"
nationella program,31537066,"86,7"
nationella program,86488203,"84,9"
nationella program,25156286,"91,4"
nationella program,28081446,"96,7"
nationella program,21400668,"92,9"
nationella program,92949043,"87,0"
nationella program,92818240,"86,2"
nationella program,84329061,"89,6"
nationella program,71969230,"81,0"
nationella program,91048178,"88,4"
nationella program,82718660,"100,0"
nationella program,76942525,"73,1"
nationella program,12399380,"100,0"
nationella program,31486865,"98,0"
nationella program,97265732,"98,1"
nationella program,10373112,..
nationella program,61720981,"89,5"
nationella program,25698509,"86,8"
nationella program,50424828,"82,4"
nationella program,82931004,"89,3"
nationella program,83584125,"100,0"
nationella program,95024660,"90,3"
nationella program,32263814,"94,7"
nationella program,16496466,..
nationella program,12075195,"87,5"
nationella program,62300682,"94,7"
nationella program,47393891,"89,3"
nationella program,48414975,"100,0"
nationella program,65265211,"96,6"
nationella program,11533776,"82,7"
nationella program,47108751,..
nationella program,97191332,"82,8"
nationella program,71938440,"85,7"
nationella program,28829503,"91,1"
nationella program,22811839,"100,0"
nationella program,33205596,"100,0"
nationella program,99622695,..
nationella program,19930101,"94,7"
nationella program,60727136,"100,0"
nationella program,45132264,"87,5"
nationella program,61647360,..
nationella program,98651664,"98,7"
nationella program,33657492,"85,6"
nationella program,61622991,"95,8"
nationella program,66644568,"83,3"
nationella program,93659517,"94,7"
nationella program,79309485,"98,9"
nationella program,61175914,"94,1"
nationella program,73316818,"100,0"
nationella program,37078868,..
nationella program,27859889,"100,0"
nationella program,16130958,"95,7"
nationella program,29161632,..
nationella program,82195565,"97,6"
nationella program,33596572,"97,3"
nationella program,45541222,"100,0"
nationella program,77713695,"97,5"
nationella program,63451147,"100,0"
nationella program,51131594,"85,7"
