skolkod,andel_med_utokat_prog
66824652,"44,8"
49168016,"27,8"
71929526,"45,2"
60873719,"33,8"
28085125,..
21938183,"21,7"
78986228,.
71472793,"48,4"
69063711,..
77609073,..
35894996,..
12926770,..
68748767,"34,4"
23548714,..
48593439,..
91773491,..
30361243,"32,4"
25596917,"60,4"
65722876,"22,0"
52129378,"41,2"
65381163,"23,0"
31155312,..
84424083,"49,1"
49231191,"38,3"
78231062,"12,6"
10481541,"38,5"
68381790,"72,7"
13006857,"24,4"
16956086,"46,1"
58187973,..
88894245,.
31870541,..
44672598,"67,2"
31822012,..
83161201,"27,2"
99356671,..
16702464,..
29449669,"25,0"
62855448,..
36252055,"12,1"
91812793,..
14355031,"48,4"
46611859,"68,9"
58907711,..
68285560,..
58544422,..
65150019,"54,2"
71541108,..
53832505,"39,0"
47537928,..
69471748,"36,8"
49750031,..
76485705,"28,1"
93239262,"44,8"
99976753,"29,3"
75575321,"9,4"
28023078,..
43284031,..
24194577,..
26267406,..
51955293,"32,1"
57690933,..
12130801,..
51736304,..
44285075,..
95785055,"6,0"
68655578,..
68741484,"11,4"
37054246,"23,3"
39199869,"71,7"
31179045,"50,0"
72421673,"40,4"
15763669,.
59655752,"25,6"
88750078,..
41555549,"29,6"
85459854,..
81876614,"54,9"
18711877,..
67071618,"53,8"
75324351,..
61229217,"31,6"
70376604,"31,0"
59575030,"20,2"
18617410,..
28025244,..
40338843,..
77440824,..
14292382,"29,4"
51981332,"81,8"
87859089,..
98908403,..
16493131,"36,7"
83272868,"43,2"
11526364,"43,4"
45552626,"48,5"
50906954,.
16748680,"31,0"
65674821,..
92332557,"24,1"
78690637,"7,7"
38048202,"9,9"
90990441,..
26671095,"56,5"
65320354,"41,9"
77544055,"41,9"
49112879,"32,0"
30279258,"17,8"
76903284,"28,8"
43623146,.
49141105,..
15870428,..
26646080,"7,3"
26750052,"19,8"
