program,skolkod,andel_med_gr_behorighet
Nationella program,54117171,"95,2"
Nationella program,48120273,"97,3"
Nationella program,33233228,..
Nationella program,94167577,"61,5"
Nationella program,27023528,"61,7"
Nationella program,53903798,"51,9"
Nationella program,85782695,..
Nationella program,98815582,"56,0"
Nationella program,97770837,"83,8"
Nationella program,21312503,"84,6"
Nationella program,69650864,"100,0"
Nationella program,59581397,"95,8"
Nationella program,14926020,..
Nationella program,41938272,"96,2"
Nationella program,29423248,"97,0"
Nationella program,76054399,"93,9"
Nationella program,33132452,"51,6"
Nationella program,56942970,..
Nationella program,60142020,..
Nationella program,70811222,"100,0"
Nationella program,17911161,"59,0"
Nationella program,35084976,"88,0"
Nationella program,25525759,.
Nationella program,77632411,"95,9"
Nationella program,56653353,"56,3"
Nationella program,49068301,"76,8"
Nationella program,59898194,"82,4"
Nationella program,38195284,"89,9"
Nationella program,97510495,"91,3"
Nationella program,89461767,"86,7"
Nationella program,94717858,"90,8"
Nationella program,53760158,"100,0"
Nationella program,78422467,"94,6"
Nationella program,37802196,..
Nationella program,38683336,..
Nationella program,36288955,"98,4"
Nationella program,74812809,"97,8"
Nationella program,88839172,"98,7"
Nationella program,48412612,"88,6"
Nationella program,95618280,"67,0"
Nationella program,75075402,"89,5"
Nationella program,26326048,"76,7"
Nationella program,37839488,"78,0"
Nationella program,46256929,"92,1"
Nationella program,83374651,"100,0"
Nationella program,59796774,"100,0"
Nationella program,17675502,"31,6"
Nationella program,75600007,"74,3"
Nationella program,73812226,"77,1"
Nationella program,30762346,..
Nationella program,82964090,"98,8"
Nationella program,88955893,"97,6"
Nationella program,15278518,"77,8"
Nationella program,15390992,"91,1"
Nationella program,63943560,"57,4"
Nationella program,85516596,"55,1"
Nationella program,31998226,..
Nationella program,38236800,..
Nationella program,16784385,"87,5"
Nationella program,59026584,"42,7"
Nationella program,79829846,"47,6"
Nationella program,89963319,..
Nationella program,24339566,"95,8"
Nationella program,20061769,..
Nationella program,65458415,..
Nationella program,95154882,"71,4"
Nationella program,52333875,"72,2"
Nationella program,24663703,..
Nationella program,28519815,"74,5"
Nationella program,65666808,"18,7"
Nationella program,69543519,"59,3"
Nationella program,24397215,"31,8"
Nationella program,30677562,"32,5"
Nationella program,85054102,..
Nationella program,87274273,..
Nationella program,89693952,.
Nationella program,24759907,"56,4"
Nationella program,78433202,"84,7"
Nationella program,41631104,..
Nationella program,35366805,"85,7"
