program,skolkod,andel_minst_e_eng5
Nationella program,41099519,"100,0"
Nationella program,59386837,"100,0"
Nationella program,21627442,"100,0"
Nationella program,17276047,"98,1"
Nationella program,73217812,"94,7"
Nationella program,21382451,"100,0"
Nationella program,48244956,"100,0"
Nationella program,36769815,"100,0"
Nationella program,16931486,"100,0"
Nationella program,92489953,"100,0"
Nationella program,43873969,"100,0"
Nationella program,55825382,"98,7"
Nationella program,19306558,"100,0"
Nationella program,35301145,"100,0"
Nationella program,24993048,"100,0"
Nationella program,70132092,"93,2"
Nationella program,65034473,..
Nationella program,13084253,"99,0"
Nationella program,32321364,"90,9"
Nationella program,59942080,"97,5"
Nationella program,66273269,"97,5"
Nationella program,82888663,"81,4"
Nationella program,11275959,"97,6"
Nationella program,58518163,"97,5"
Nationella program,50615280,"100,0"
Nationella program,19035583,"100,0"
Nationella program,27993549,"94,4"
Nationella program,37912396,"97,7"
Nationella program,45593337,"100,0"
Nationella program,90312942,"98,8"
Nationella program,10226870,"100,0"
Nationella program,19839859,"100,0"
Nationella program,80280597,..
Nationella program,67628478,"100,0"
Nationella program,37517404,"100,0"
Nationella program,29159460,"100,0"
Nationella program,32057701,"100,0"
Nationella program,43601850,"100,0"
Nationella program,30615080,"98,3"
Nationella program,89630851,"100,0"
Nationella program,25178582,"100,0"
Nationella program,70543431,"100,0"
Nationella program,23476801,..
Nationella program,86351879,"96,6"
Nationella program,56041144,"100,0"
Nationella program,14586562,..
Nationella program,74322969,"98,2"
Nationella program,90260899,"100,0"
Nationella program,69302313,"91,3"
Nationella program,31057219,"96,4"
Nationella program,27079521,"98,0"
Nationella program,33572033,"100,0"
Nationella program,64579522,"98,4"
Nationella program,65234368,"100,0"
Nationella program,34381901,"99,0"
Nationella program,55150847,"100,0"
Nationella program,90076461,"100,0"
